 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
60,21,303.500,34.643,15.899,1.000,1.182,0.846,0.913
61,4,185.000,36.000,5.657,1.000,1.000,1.000,1.000
62,2,367.000,35.500,4.243,1.000,2.000,0.500,1.000
63,105,296.148,42.767,47.941,0.574,1.870,0.535,0.755
64,2,58.000,37.500,4.243,1.000,2.000,0.500,1.000
65,13,215.808,39.423,13.314,0.922,1.145,0.874,0.812
66,1,203.500,40.500,2.828,1.000,1.000,1.000,1.000
67,9,238.944,41.833,10.485,1.000,1.536,0.651,0.857
68,9,253.389,42.611,11.071,0.923,1.343,0.745,0.857
69,62,312.032,46.532,27.556,1.000,1.227,0.815,0.939
70,7,166.500,44.214,9.071,1.000,1.069,0.936,0.875
71,2,250.500,45.000,4.828,1.000,2.000,0.500,1.000
72,10,99.000,46.500,10.485,1.000,1.551,0.645,0.909
73,11,281.318,47.773,11.899,0.976,1.147,0.871,0.815
74,2,201.500,48.000,4.828,1.000,2.000,0.500,1.000
75,1,43.500,49.500,2.828,1.000,1.000,1.000,1.000
76,2,1.500,51.000,4.828,1.000,2.000,0.500,1.000
77,5,62.500,52.500,8.485,0.873,1.000,1.000,0.714
78,2,337.000,51.500,4.243,1.000,2.000,0.500,1.000
79,3,183.167,54.167,5.657,1.000,1.464,0.683,0.857
80,22,309.227,56.500,16.142,1.000,1.216,0.822,0.863
81,43,316.616,58.895,25.799,0.812,1.559,0.642,0.835
82,3,154.833,56.167,5.657,1.000,1.464,0.683,0.857
83,2,196.500,58.000,4.828,1.000,2.000,0.500,1.000
84,1,329.500,57.500,2.828,1.000,1.000,1.000,1.000
85,89,203.949,66.646,44.870,0.556,2.074,0.482,0.771
86,17,252.853,60.265,15.556,0.883,1.781,0.561,0.773
87,18,114.500,61.167,14.485,1.000,1.248,0.801,0.947
88,39,232.526,62.346,22.728,0.949,1.112,0.900,0.897
89,9,298.611,61.167,10.485,1.000,1.340,0.746,0.857
90,9,171.500,61.500,9.657,1.000,1.000,1.000,1.000
91,7,308.500,61.214,9.071,1.000,1.069,0.936,0.875
92,2,399.500,62.000,4.828,1.000,2.000,0.500,1.000
93,8,225.875,65.000,11.314,0.785,2.014,0.496,0.727
94,6,245.667,64.333,8.485,1.000,1.291,0.775,0.800
95,7,244.500,68.214,9.071,1.000,1.069,0.936,0.875
96,12,46.250,69.833,11.899,1.000,1.135,0.881,0.857
97,18,394.611,70.222,14.728,1.000,1.130,0.885,0.857
98,16,72.500,71.000,13.314,1.000,1.209,0.827,0.889
99,7,92.500,70.500,8.485,1.000,1.596,0.626,0.875
100,7,220.786,70.500,9.071,1.000,1.069,0.936,0.875
101,16,375.250,70.938,13.899,1.000,1.234,0.810,0.889
102,10,59.500,72.300,11.071,1.000,1.236,0.809,0.909
103,2,153.500,71.000,4.828,1.000,2.000,0.500,1.000
104,4,195.000,71.000,5.657,1.000,1.000,1.000,1.000
105,6,298.500,71.000,7.657,1.000,1.500,0.667,1.000
106,6,178.000,71.833,9.071,0.916,1.809,0.553,0.857
107,6,190.000,73.500,7.657,1.000,1.500,0.667,1.000
108,3,154.833,74.167,5.657,1.000,1.464,0.683,0.857
109,2,346.500,74.000,4.828,1.000,2.000,0.500,1.000
110,22,158.409,78.318,21.556,0.595,2.103,0.476,0.721
